"filename", "language", "YAML", "Groovy", "Properties", "Markdown", "Dart", "JSON", "Swift", "C++", "XML", "comment", "blank", "total"
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\collection_controller\carrousel_controller.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 10, 53
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\collection_controller\collection_controller.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 20, 199
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\collection_controller\tag_controller.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 9, 42
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\card_controller.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\carrousel_controller.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 9, 58
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\library_body_controller.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 8, 63
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\library_controller.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 10, 42
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\library_controller\library_header_controller.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\movie_controller\addtag_controller.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\movie_controller\carrousel_controller.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 3, 9, 66
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\movie_controller\movie_controller.dart", "Dart", 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 21, 239
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\movie_controller\tag_controller.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\person_controller\addtag_controller.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\person_controller\carrousel_controller.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 11, 58
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\person_controller\person_controller.dart", "Dart", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 19, 176
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\person_controller\tag_controller.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 9, 42
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\search_controller\icon_search.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\search_controller\loading_controller.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\search_controller\result_controller.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\search_controller\search_controller.dart", "Dart", 0, 0, 0, 0, 96, 0, 0, 0, 0, 4, 14, 114
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\tv_controller\addtag_controller.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\tv_controller\carrousel_controller.dart", "Dart", 0, 0, 0, 0, 76, 0, 0, 0, 0, 3, 9, 88
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\tv_controller\episode_controller.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 9, 81
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\tv_controller\season_controller.dart", "Dart", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 11, 99
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\tv_controller\tag_controller.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\dev\Videotheque\videotheque_flutter\lib\controllers\tv_controller\tv_controller.dart", "Dart", 0, 0, 0, 0, 230, 0, 0, 0, 0, 1, 31, 262
"c:\dev\Videotheque\videotheque_flutter\lib\globals.dart", "Dart", 0, 0, 0, 0, 168, 0, 0, 0, 0, 11, 21, 200
"c:\dev\Videotheque\videotheque_flutter\lib\main.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 3, 59
"c:\dev\Videotheque\videotheque_flutter\lib\utils.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 10, 56
"c:\dev\Videotheque\videotheque_flutter\lib\views\account_view\account_view.dart", "Dart", 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 1, 348
"c:\dev\Videotheque\videotheque_flutter\lib\views\app_view.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 75
"c:\dev\Videotheque\videotheque_flutter\lib\views\auth_view.dart\auth_view.dart", "Dart", 0, 0, 0, 0, 252, 0, 0, 0, 0, 17, 3, 272
"c:\dev\Videotheque\videotheque_flutter\lib\views\collection_view\addtag_view.dart", "Dart", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 4, 99
"c:\dev\Videotheque\videotheque_flutter\lib\views\collection_view\carrousel_view.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 76
"c:\dev\Videotheque\videotheque_flutter\lib\views\collection_view\collection_view.dart", "Dart", 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 2, 249
"c:\dev\Videotheque\videotheque_flutter\lib\views\collection_view\tag_view.dart", "Dart", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 70
